Id,SalePrice
1461,121179.84854687359
1462,127205.88686290775
1463,171592.6590761799
1464,182381.97580299052
1465,179520.37068063533
1466,178951.9707175449
1467,202398.52965967092
1468,155932.089380014
1469,151745.67931033432
1470,118180.89039215456
1471,179803.19020757344
1472,126350.17039354755
1473,112598.8802371383
1474,165393.0965324879
1475,133094.6634602245
1476,291905.54132536915
1477,226166.0804017274
1478,247988.01872074325
1479,238687.80365698898
1480,359905.4756055599
1481,306496.59449348995
1482,160191.51940464426
1483,169876.74022334744
1484,158076.08005476883
1485,207643.06301029958
1486,238041.8233917264
1487,299019.8162258073
1488,256765.5007832151
1489,178301.57571721304
1490,166671.4614357523
1491,161570.40914810172
1492,111667.90013399874
1493,214591.43266286943
1494,318133.1873198765
1495,315135.30974752246
1496,204412.1293416075
1497,171508.69447251203
1498,167497.8227597842
1499,160524.8667688286
1500,143910.02898890825
1501,159749.08756163344
1502,161994.0204953432
1503,247010.46347093824
1504,239148.5903209157
1505,225506.45811361715
1506,212395.3370019801
1507,255956.2760626111
1508,215448.47717850038
1509,151845.1472973777
1510,136288.45249591584
1511,142672.33950914527
1512,159686.6026558062
1513,126487.93510091881
1514,148051.20535936335
1515,173404.14970223702
1516,153983.4615829419
1517,156619.41961617692
1518,130220.13456768975
1519,224929.864954706
1520,114709.57850782177
1521,114724.95154892009
1522,145115.81907280174
1523,127047.89441747323
1524,84927.1816405404
1525,116448.42389292504
1526,108612.59964042799
1527,107423.80943987684
1528,161243.90066126556
1529,123209.39098451233
1530,240256.6305608328
1531,137626.16711987686
1532,108866.59539306442
1533,146862.68631606703
1534,133711.70400618925
1535,134711.12591723804
1536,105536.51737537215
1537,86763.0407358758
1538,167365.46947010147
1539,194673.93785230716
1540,103698.13679830522
1541,140584.3809712065
1542,136350.08736817853
1543,220529.50232644382
1544,100709.90186782004
1545,122508.2199159144
1546,147664.30391969476
1547,133236.7432798128
1548,149784.65818236713
1549,98961.06269045293
1550,147656.99409557614
1551,133605.40280890613
1552,160241.90729677014
1553,164740.13339068575
1554,130977.58888519715
1555,153186.59629880107
1556,113128.62534821847
1557,99858.63004163683
1558,113699.81584749778
1559,85747.06093562434
1560,144801.5747772929
1561,122020.30219968234
1562,127703.1415607083
1563,110475.048238597
1564,154546.80387474547
1565,140477.58129888418
1566,221968.54297262136
1567,85943.76578273365
1568,212620.72474869672
1569,106270.24859746158
1570,157505.00903755103
1571,131486.48984477844
1572,137178.13725499247
1573,206447.38841840104
1574,130689.77016487715
1575,228156.5330929944
1576,259664.98545348432
1577,168520.33212920962
1578,146051.2986832517
1579,139051.61722774143
1580,198992.26711387766
1581,177426.2852640727
1582,123992.73123559606
1583,275232.19951520575
1584,245700.75343231848
1585,142532.79660808214
1586,78115.29249890716
1587,120944.3236916392
1588,121595.29152597484
1589,105013.09601772808
1590,125671.92719706455
1591,92572.50148912432
1592,120896.13945578165
1593,143519.65095851684
1594,150473.25126603784
1595,109128.02005367675
1596,208400.55470071363
1597,184574.09936823492
1598,186125.88523637553
1599,177592.89083710164
1600,174586.46603796753
1601,78286.70441830525
1602,130266.886616473
1603,116425.10704815637
1604,245430.94143605142
1605,218310.1193018999
1606,125339.4723146045
1607,173272.6995429975
1608,195666.09861037112
1609,180572.5060053521
1610,152738.0939138187
1611,144672.59742318201
1612,211764.3005946561
1613,167795.46818334993
1614,166909.26899138637
1615,92475.28223484031
1616,69592.84186486837
1617,107904.14958253945
1618,122259.52407527086
1619,163640.69406459492
1620,203499.31505370818
1621,162545.0862544381
1622,163669.3423691583
1623,308581.0308934069
1624,197869.68448424104
1625,107229.98074543204
1626,158926.68505838222
1627,193375.23117202736
1628,337907.66555140837
1629,178316.69384260176
1630,267924.5385336818
1631,170179.7695982853
1632,217383.46335367713
1633,202211.63103348672
1634,180353.6696743748
1635,186901.93977914716
1636,159271.87224371312
1637,210644.25269153703
1638,218383.32681906968
1639,228563.8259330659
1640,243843.68806678976
1641,173783.90793899706
1642,226495.41724529242
1643,210836.12402561665
1644,197694.37392068785
1645,213499.78803298372
1646,133921.8624326651
1647,162006.34852858432
1648,116816.04554193075
1649,132437.03523362556
1650,144726.23367916045
1651,124639.26362016324
1652,118628.33515967242
1653,131769.4061662886
1654,123805.90024050197
1655,147733.91182570285
1656,137899.6595489331
1657,195104.70555773858
1658,132844.16766735993
1659,109112.69715124808
1660,176546.99120819045
1661,354652.8039172632
1662,336149.4519166036
1663,263242.4763266009
1664,398813.1114493294
1665,252188.05466428588
1666,268208.6378384808
1667,307887.3246607607
